timeStamp,bestBid,bestAsk,bidSize,askSize
40750,998725,998726,50,37
40750,998725,998726,50,37
40750,998725,998726,86,37
40750,998725,998726,86,37
40751,998725,998726,86,37
40752,998725,998726,50,37
40753,998725,998726,50,37
40754,998725,998726,50,37
40756,998725,998726,50,37
40757,998725,998726,50,37
40758,998725,998726,50,37
40759,998725,998726,50,37
40760,998725,998726,50,37
40761,998725,998726,50,37
40762,998725,998726,50,37
40763,998725,998726,50,37
40765,998725,998726,50,37
40767,998725,998726,50,37
40768,998725,998726,50,37
40769,998725,998726,50,37
40770,998725,998726,50,37
40771,998725,998726,50,37
40772,998725,998726,50,37
40773,998725,998726,50,37
40774,998725,998726,50,37
40776,998725,998726,50,37
40779,998725,998726,50,37
40780,998725,998726,50,37
40783,998725,998726,50,37
40784,998725,998726,50,37
40787,998725,998726,50,37
40788,998725,998726,50,37
40792,998725,998726,50,37
40798,998725,998726,50,37
40800,998725,998726,50,37
40800,998725,998726,50,37
40800,998725,998726,50,37
40800,998725,998726,7,37
40800,998725,998726,7,37
40800,998725,998726,7,37
40800,998725,998726,7,37
40800,998725,998726,7,37
40800,998725,998726,7,37
40800,998725,998726,7,37
40800,998725,998726,7,37
40800,998725,998726,7,37
40800,998725,998726,7,37
40800,998724,998726,847,37
40800,998724,998726,847,37
40800,998724,998726,847,37
40803,998724,998726,847,37
40811,998724,998726,847,37
40817,998724,998726,847,37
40821,998724,998726,847,37
40824,998724,998726,847,37
40838,998724,998726,847,37
40840,998724,998726,847,37
40850,998724,998726,847,37
40850,998724,998726,847,37
40850,998724,998726,847,37
40850,998724,998726,847,37
40850,998724,998726,847,37
40850,998724,998726,847,37
40857,998724,998726,847,37
40859,998724,998726,847,37
40861,998724,998726,847,37
40863,998724,998726,847,37
40900,998724,998726,847,37
40900,998724,998726,847,37
40900,998724,998726,847,37
40900,998724,998726,847,37
40900,998724,998726,847,37
40900,998724,998726,847,37
40900,998724,998726,825,37
40902,998724,998726,789,37
40908,998724,998726,789,37
40950,998724,998726,789,37
40950,998724,998726,789,37
40950,998724,998726,789,37
40950,998724,998726,755,37
40950,998724,998726,755,37
40950,998724,998726,707,37
40950,998724,998726,707,37
40950,998724,998726,673,37
40950,998724,998726,673,37
40960,998724,998726,673,37
41000,998724,998726,673,37
41000,998724,998726,673,37
41000,998724,998726,648,37
41000,998724,998726,648,37
41000,998724,998726,648,37
41000,998724,998726,613,37
41000,998725,998726,19,37
41000,998725,998726,19,37
41000,998725,998726,19,37
41000,998725,998726,19,37
41000,998725,998726,19,37
41000,998724,998726,612,37
41000,998724,998726,583,37
41000,998725,998726,27,37
41000,998725,998726,27,37
41000,998725,998726,27,37
41000,998725,998726,16,37
41001,998725,998726,16,37
41002,998725,998726,16,37
41004,998725,998726,16,37
41005,998725,998726,16,37
41010,998725,998726,16,37
41012,998725,998726,16,37
41013,998725,998726,16,37
41014,998725,998726,16,37
41016,998725,998726,16,37
41018,998725,998726,16,37
41019,998725,998726,16,37
41021,998725,998726,16,37
41022,998725,998726,16,37
41024,998725,998726,16,37
41025,998725,998726,16,37
41026,998725,998726,16,37
41030,998725,998726,16,37
41033,998725,998726,16,37
41034,998725,998726,16,37
41035,998725,998726,16,37
41038,998725,998726,16,37
41040,998725,998726,16,37
41042,998725,998726,16,37
41043,998725,998726,16,37
41045,998725,998726,16,37
41046,998725,998726,16,37
41047,998725,998726,16,37
41049,998725,998726,16,37
41050,998725,998726,16,37
41050,998725,998726,16,37
41050,998725,998726,16,37
41057,998725,998726,16,37
41060,998725,998726,16,37
41067,998725,998726,16,37
41068,998725,998726,16,37
41077,998725,998726,16,37
41080,998725,998726,16,37
41081,998725,998726,16,37
41082,998725,998726,16,37
41089,998725,998726,16,37
41091,998725,998726,16,37
41094,998725,998726,16,37
41100,998725,998726,16,37
41100,998725,998726,16,37
41100,998725,998726,16,37
41100,998725,998726,16,37
41100,998725,998726,16,37
41100,998725,998726,16,37
41112,998725,998726,16,37
41118,998725,998726,16,37
41119,998725,998726,16,37
41132,998725,998726,16,37
41150,998725,998726,16,37
41150,998725,998726,16,37
41150,998725,998726,16,37
41200,998725,998726,16,37
41200,998725,998726,16,37
41200,998725,998726,16,37
41200,998725,998726,16,37
41200,998725,998726,9,37
41200,998725,998726,9,37
41200,998725,998726,9,37
41200,998725,998726,5,37
41200,998725,998726,5,37
41200,998725,998726,5,37
41250,998725,998726,5,37
41250,998725,998726,5,37
41250,998724,998726,627,37
41250,998724,998726,627,37
41250,998724,998726,627,37
41250,998724,998726,627,37
41250,998724,998726,615,37
41250,998724,998726,615,37
41250,998724,998726,615,37
41250,998724,998726,615,37
41254,998724,998726,615,37
41257,998724,998726,615,37
41260,998724,998726,615,37
41263,998724,998726,615,37
41265,998724,998726,615,37
41268,998724,998726,615,37
41272,998724,998726,615,37
41277,998724,998726,615,37
41278,998724,998726,615,37
41284,998724,998726,615,37
41285,998724,998726,615,37
41286,998724,998726,615,37
41287,998724,998726,615,37
41300,998724,998726,615,37
41300,998724,998726,615,37
41300,998724,998726,615,37
41300,998724,998726,589,37
41300,998724,998726,587,37
41300,998724,998726,587,37
41300,998724,998726,587,37
41300,998724,998726,587,37
41302,998724,998726,587,37
41323,998724,998726,587,37
41329,998724,998726,587,37
41350,998724,998726,587,37
41350,998724,998726,587,37
41350,998724,998726,587,37
41357,998724,998726,587,37
41384,998724,998726,587,37
41400,998724,998726,619,37
41400,998724,998726,609,37
41400,998724,998726,609,37
41400,998724,998726,609,37
41400,998724,998726,609,37
41400,998724,998726,576,37
41400,998724,998726,576,37
41400,998724,998726,576,37
41400,998724,998726,576,37
41400,998724,998726,576,37
41400,998724,998726,568,37
41400,998724,998726,568,37
41400,998724,998726,568,37
41400,998724,998725,568,23
41400,998724,998725,567,23
41400,998724,998725,567,23
41400,998724,998725,567,23
41400,998724,998725,564,23
41404,998724,998725,564,23
41410,998724,998725,564,23
41450,998724,998725,564,23
41450,998724,998725,564,23
41450,998724,998725,564,23
41500,998724,998725,564,23
41500,998724,998725,564,23
41500,998724,998725,545,23
41500,998724,998725,545,23
41500,998724,998725,545,23
41500,998724,998725,545,23
41500,998724,998725,545,23
41500,998724,998725,545,23
41500,998724,998725,545,23
41500,998724,998725,545,64
41550,998724,998725,545,64
41550,998724,998725,545,64
41550,998724,998725,501,64
41550,998724,998725,462,64
41550,998724,998725,462,64
41562,998724,998725,462,64
41600,998724,998725,462,64
41600,998724,998725,462,64
